classification,Harmless,Malicious,Suspicious
Unknown,61,3,0
Unknown,0,0,0
Unknown,62,1,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,64,0,2
Unknown,61,3,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,63,3,1
Unknown,61,3,1
Unknown,54,10,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,63,1,0
Unknown,65,1,0
Unknown,0,0,0
Unknown,57,9,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,63,2,0
Unknown,0,0,0
Unknown,62,5,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,62,3,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,60,5,0
Unknown,62,1,1
Unknown,0,0,0
Unknown,64,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,63,2,1
Unknown,0,0,0
Unknown,64,1,0
Unknown,0,0,0
Unknown,64,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,63,1,0
Unknown,0,0,0
Unknown,48,0,0
Unknown,0,0,0
Unknown,60,4,0
Unknown,64,1,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,56,9,2
Unknown,0,0,0
Unknown,1,0,0
Unknown,65,0,1
Unknown,0,0,0
Unknown,63,2,0
Unknown,0,0,0
Unknown,62,1,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,61,4,2
Unknown,0,0,0
Unknown,47,0,0
Unknown,57,10,0
Unknown,59,4,3
Unknown,53,12,2
Unknown,0,0,0
Unknown,50,19,3
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,60,4,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,62,2,0
Unknown,0,0,0
Unknown,64,1,0
Unknown,62,1,1
Unknown,62,3,1
Unknown,60,5,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,64,1,0
Unknown,0,0,0
Unknown,63,2,1
Unknown,0,0,0
Unknown,47,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,61,4,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,62,3,1
Unknown,61,4,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,61,3,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,65,1,0
Unknown,0,0,0
Unknown,61,5,1
Unknown,62,4,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,58,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,57,11,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,56,10,0
Unknown,63,2,0
Unknown,63,1,0
Unknown,63,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,62,1,0
Unknown,63,1,0
Unknown,64,1,1
Unknown,55,10,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,63,2,1
Unknown,59,5,2
Unknown,0,0,0
Unknown,65,0,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,60,7,0
Unknown,0,0,0
Unknown,64,3,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,61,2,1
Unknown,0,0,0
Unknown,61,6,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,64,1,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,57,10,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,62,2,0
Unknown,65,0,1
Unknown,63,3,0
Unknown,0,0,0
Unknown,58,9,0
Unknown,57,9,1
Unknown,58,6,2
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,62,3,2
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,65,0,1
Unknown,0,0,0
Unknown,62,3,2
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,62,3,0
Unknown,65,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,63,2,0
Unknown,0,0,0
Unknown,58,7,0
Unknown,60,4,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,58,9,0
Unknown,61,4,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,63,1,0
Unknown,64,1,0
Unknown,64,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,62,0,0
Unknown,59,6,3
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,61,3,3
Unknown,0,0,0
Unknown,62,1,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,59,7,0
Unknown,63,1,0
Unknown,63,2,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,61,1,1
Unknown,62,2,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,64,1,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,57,9,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,63,5,0
Unknown,0,0,0
Unknown,63,3,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,52,15,3
Unknown,62,4,0
Unknown,0,0,0
Unknown,63,1,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,60,4,0
Unknown,59,5,1
Unknown,64,1,0
Unknown,58,5,1
Unknown,60,6,2
Unknown,60,5,2
Unknown,60,4,1
Unknown,60,5,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,62,1,0
Unknown,65,1,0
Unknown,0,0,0
Unknown,53,14,2
Unknown,61,2,0
Unknown,0,0,0
Unknown,63,1,0
Unknown,0,0,0
Unknown,66,0,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,62,3,0
Unknown,0,0,0
Unknown,53,13,1
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,63,1,0
Unknown,0,0,0
Unknown,65,1,0
Unknown,0,0,0
Unknown,63,3,0
Unknown,62,2,0
Unknown,0,0,0
Unknown,0,0,0
Unknown,62,3,2
Unknown,0,0,0
Unknown,0,0,0
Unknown,63,2,0
Unknown,61,3,0
